,Tree ID,Carbon Storage (kg),Height (m),Canopy Cover (m2)
695,1704.0,15.0,4.0,4.9
696,1705.0,15.0,4.0,4.9
697,1706.0,15.0,4.0,4.9
698,1707.0,15.0,4.0,4.9
699,1708.0,15.0,4.0,4.9
700,1709.0,15.0,4.0,4.9
701,1710.0,15.0,4.0,4.9
702,1711.0,15.0,4.0,4.9
703,1712.0,15.0,4.0,4.9
704,1713.0,15.0,4.0,4.9
705,1823.0,135.2,7.0,12.6
706,1824.0,23.9,6.0,28.3
707,1825.0,8.6,4.5,12.6
708,1826.0,6.0,5.0,12.6
709,1827.0,11.8,6.0,19.6
710,1828.0,15.7,6.0,19.6
711,1829.0,11.8,6.0,19.6
712,1859.0,19.1,9.0,19.6
713,1860.0,36.7,8.0,19.6
714,1861.0,19.1,8.0,19.6
715,1874.0,9.5,5.0,12.6
716,1875.0,13.2,6.0,19.6
717,1876.0,94.3,8.0,50.3
718,1923.0,72.0,5.0,12.6
719,1924.0,139.0,6.0,28.3
720,1925.0,72.0,5.0,12.6
721,1926.0,54.7,2.5,7.1
722,1927.0,63.0,5.0,12.6
723,1928.0,54.7,2.5,7.1
724,1929.0,102.7,3.5,38.5
725,1930.0,33.2,2.5,7.1
726,1931.0,39.8,2.5,4.9
727,1932.0,152.4,7.0,38.5
728,1933.0,139.0,7.0,38.5
729,1934.0,81.6,6.0,28.3
730,1935.0,72.0,4.0,28.3
731,1936.0,180.9,8.0,50.3
732,1937.0,212.0,8.0,50.3
733,1938.0,152.4,7.0,28.3
